loss,accuracy,val_loss,val_accuracy,lr
0.8249030709266663,0.6682027578353882,0.6252384185791016,0.7532808184623718,0.00019999999494757503
0.6072479486465454,0.7684769034385681,0.5256498456001282,0.804724395275116,0.00019999999494757503
0.5398703813552856,0.8003849983215332,0.4843558669090271,0.830446183681488,0.00019999999494757503
0.5115939974784851,0.80732661485672,0.45275843143463135,0.8362204432487488,0.00019999999494757503
0.481368750333786,0.82004314661026,0.4443531334400177,0.8293963074684143,0.00019999999494757503
0.46974262595176697,0.8256431221961975,0.4236363172531128,0.8461942076683044,0.00019999999494757503
0.4614492654800415,0.829318106174469,0.4147155284881592,0.8482939600944519,0.00019999999494757503
0.4499216079711914,0.8333430290222168,0.4130256772041321,0.8440945148468018,0.00019999999494757503
0.4453113377094269,0.8336930274963379,0.39724862575531006,0.856692910194397,0.00019999999494757503
0.4356634020805359,0.8371347188949585,0.3896733820438385,0.8577427864074707,0.00019999999494757503
0.43354690074920654,0.8332847356796265,0.3857855498790741,0.8593176007270813,0.00019999999494757503
0.42994561791419983,0.8405763506889343,0.38125187158584595,0.8624671697616577,0.00019999999494757503
0.42603933811187744,0.8444846272468567,0.3825345039367676,0.8624671697616577,0.00019999999494757503
0.4276999533176422,0.8394680023193359,0.38163432478904724,0.8640419840812683,0.00019999999494757503
0.424337238073349,0.841392993927002,0.37732645869255066,0.8656167984008789,9.999999747378752e-05
